Heading	Description	EventCatId	LogEvent	DisplayEvent	EventType	OverrideAlarm	Priority	RestoreEventCode	SendResetToPanel	ReponseRequired	Required2ndResponse	EventCode	EventClass	Auditting	UpdateStatus	StatusOptions	MobileNotification	EventColor	ChallengerCos	ChEvent	ChSubEvent	oPoint	sPoint	oUser	sUser	oJob	sJob	oFloor	sFloor	oRegion	sRegion				PageOnEvent	PageOnAck	PageOnRemoval
	Expander - comms fault	1	1	1	1	0	50	92	0	1	0	91	2	0	0	1	0	EF1111	24	5b	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
	Expander - comms restored	1	1	1	2	0	50	0	0	0	0	92	2	0	0	0	0		24	5c	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
	Expander - hardware fail	1	1	1	1	0	50	94	0	1	0	93	2	0	0	1	0	EF1111	24	5d	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
	Expander - hardware restored	1	1	1	2	0	50	0	0	0	0	94	2	0	0	0	0		24	5e	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
	User database - full	1	1	1	1	0	50	96	0	1	0	95	41	0	0	1	0	EF1111	10	5f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	User database - full restored	1	1	1	2	0	50	0	0	0	0	96	41	0	0	0	0		10	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	User database - defaulted	1	1	1	0	0	50	0	0	0	0	105	2	0	0	0	0		24	69	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
	User database - corrupted	1	1	1	0	0	50	0	0	0	0	106	2	0	0	0	0		24	6a	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
	Battery missing alarm	1	1	1	1	0	50	259	0	1	0	249	41	0	0	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Battery missing restored	1	1	1	2	0	50	0	0	0	0	259	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
