Heading	Description	EventCatId	LogEvent	DisplayEvent	EventType	OverrideAlarm	Priority	RestoreEventCode	SendResetToPanel	ReponseRequired	Required2ndResponse	EventCode	EventClass	Auditting	UpdateStatus	StatusOptions	MobileNotification	EventColor	ChallengerCos	ChEvent	ChSubEvent	oPoint	sPoint	oUser	sUser	oJob	sJob	oFloor	sFloor	oRegion	sRegion				PageOnEvent	PageOnAck	PageOnRemoval
	UltraSync DuraPoll fail (reporting via SIM2)	1	1	1	0	0	60	800	0	0	0	799	2	0	0	0	0	0	32	ff	4d	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	UltraSync DuraPoll restore (reporting via SIM1)	1	1	1	0	0	60	0	0	0	0	800	2	0	0	0	0		32	ff	4e	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	UltraSync event	1	1	1	0	0	60	0	0	0	0	802	1	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Radio event	1	1	1	0	0	60	0	0	0	0	803	2	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Radio PPP event	1	1	1	0	0	60	0	0	0	0	804	2	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Radio CME event	1	1	1	0	0	60	0	0	0	0	805	2	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Denial of service	1	1	1	0	0	60	851	0	0	0	850	2	0	0	0	0	0	32	ff	4f	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Denial of service restore	1	1	1	0	0	60	0	0	0	0	851	2	0	0	0	0		32	ff	50	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	UltraSync SIM2 link fail	1	1	1	0	0	60	855	0	0	0	854	2	0	0	0	0	0	32	ff	51	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	UltraSync SIM2 link restore	1	1	1	0	0	60	0	0	0	0	855	2	0	0	0	0		32	ff	52	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Incorrect model configured	1	1	1	0	0	60	0	0	0	0	859	41	0	0	0	0		0	ff	53	7	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Battery fault	1	1	1	2	0	50	861	0	0	0	860	51	0	0	0	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Battery fault restored	1	1	1	2	0	50	0	0	0	0	861	51	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Charger fault	1	1	1	2	0	50	863	0	0	0	862	51	0	0	0	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Charger fault restored	1	1	1	2	0	50	0	0	0	0	863	51	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Wiegand tamper	1	1	1	2	0	50	865	0	0	0	864	51	0	0	0	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Wiegand tamper restored	1	1	1	2	0	50	0	0	0	0	865	51	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Apply license successful	1	1	1	0	0	50	0	0	0	0	953	41	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Apply license failed	1	1	1	0	0	50	0	0	0	0	954	51	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	License configuration mismatched	1	1	1	0	0	60	0	0	0	0	866	51	0	0	0	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - info	1	1	1	0	0	50	0	0	1	0	955	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Started updating peripherial configuration	1	1	1	0	0	70	869	0	0	0	868	41	0	1	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Finished configuring peripherial	1	1	1	2	0	70	0	0	0	0	869	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Region Event Category										0																											
	Too few HSU in region alarm	15	1	1	1	0	40	244	0	1	0	243	67	0	1	1	0	EF1111	14	f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Too few HSU in region restore	15	1	1	2	0	40	0	0	0	0	244	67	0	1	0	0		14	f4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	All users released from region	15	1	1	0	0	80	0	0	0	0	245	67	0	1	0	0		14	f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Area Event Category										0																											
	Secured	2	1	1	2	0	80	0	0	0	0	11	13	0	1	2	0		7	0b	0	303	1	404	2	0	0	0	0	0	0	0	0	0	0	0	0
	Accessed	2	1	1	0	0	80	11	0	0	0	12	13	0	1	2	0		7	0c	0	303	1	404	2	0	0	0	0	0	0	0	0	0	0	0	0
	Area out of time zone	2	1	1	1	0	80	58	0	1	0	57	38	0	1	1	0	EF1111	7	39	0	303	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Area within time zone	2	1	1	2	0	80	0	0	0	0	58	38	0	1	0	0		7	3a	0	303	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Secured stay	2	1	1	2	0	80	0	0	0	0	110	13	0	1	2	0		7	6c	0	303	1	404	2	0	0	0	0	0	0	0	0	0	0	0	0
	Control failed	2	1	1	0	0	80	0	0	0	0	273	65	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Input Event Category										0																											
	Alarm	3	1	1	1	0	50	2	1	1	0	0	31	0	1	1	1	EF1111	1	0	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Tamper	3	1	1	1	0	50	3	1	1	0	1	31	0	1	1	1	EF1111	1	1	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Alarm restored	3	1	1	2	0	50	0	0	0	0	2	31	0	1	0	0		1	2	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Tamper restored	3	1	1	2	0	50	0	0	0	0	3	31	0	1	0	0		1	3	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Secure alarm	3	1	1	1	0	50	5	1	1	0	4	31	0	1	1	0	EF1111	1	4	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Secure alarm restored	3	1	1	2	0	50	0	0	0	0	5	31	0	1	0	0		1	5	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Isolated	3	1	1	0	0	80	7	0	0	0	6	33	0	1	3	0		1	6	0	101	2	404	2	3	1	0	0	0	0	0	0	0	0	0	0
	De-isolated	3	1	1	2	0	80	0	0	0	0	7	33	0	1	2	0		1	7	0	101	2	404	2	3	1	0	0	0	0	0	0	0	0	0	0
	Unsealed	3	1	1	0	0	80	151	0	0	0	150	32	0	1	1	0		1	96	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Sealed	3	1	1	2	0	80	0	0	0	0	151	32	0	1	0	0		1	97	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Local alarm	3	1	1	1	0	60	195	1	1	0	194	31	0	1	1	0	EF1111	1	c2	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Local alarm reset	3	1	1	2	0	60	0	0	0	0	195	31	0	1	0	0		1	c3	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Delay started	3	1	1	0	0	80	0	0	0	0	196	31	0	0	0	0		1	c4	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Suspicion button active	3	1	1	1	0	60	0	0	1	0	199	31	0	0	0	0	EF1111	1	c7	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Courier in	3	1	1	0	0	70	0	0	0	0	260	34	0	0	0	0		1	ff	5	202	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Delay button active	3	1	1	0	0	60	0	0	0	0	275	32	0	0	0	0		1	ff	14	202	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Smoke detector dirty	3	1	1	1	0	50	70	0	1	0	69	32	0	1	1	0	EF1111	1	45	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Smoke detector dirty restored	3	1	1	2	0	50	0	0	0	0	70	32	0	1	0	0		1	46	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Supervision fail	3	1	1	1	0	50	72	0	1	0	71	32	0	1	1	0	EF1111	1	47	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Supervision fail restored	3	1	1	2	0	50	0	0	0	0	72	32	0	1	0	0		1	48	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Detector low battery (Wireless)	3	1	1	1	0	50	74	0	1	0	73	32	0	1	1	0	EF1111	1	49	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Detector low battery restored (Wireless)	3	1	1	2	0	50	0	0	0	0	74	32	0	1	0	0		1	4a	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Fail test	3	1	1	1	0	50	102	0	1	0	101	31	0	1	1	0	EF1111	1	65	0	1	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Fail test reset	3	1	1	2	0	50	0	0	0	0	102	31	0	1	0	0		1	66	0	1	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Exit alarm	3	1	1	1	0	50	104	0	1	0	103	31	0	1	1	0	EF1111	1	67	0	1	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Exit alarm restored	3	1	1	2	0	50	0	0	0	0	104	31	0	1	0	0		1	68	0	1	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Input test successful	3	1	1	2	0	50	0	0	0	0	107	31	0	1	0	0		1	6b	0	1	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Multi-break alarm	3	1	1	1	0	50	88	1	1	0	87	31	0	1	1	1	EF1111	1	57	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Multi-break alarm restored	3	1	1	2	0	50	0	1	1	0	88	31	0	1	1	1		1	58	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Twin Trip timer started	3	1	1	0	0	60	0	0	0	0	215	32	0	0	0	1		1	d3	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Night holdup	3	0	0	1	0	50	2	1	1	0	216	31	0	1	1	1	EF1111	0	0	0	101	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0
	Short state	3	0	0	0	0	60	0	0	0	0	217	32	0	1	0	1		0	0	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Open state	3	0	0	0	0	60	0	0	0	0	218	32	0	1	0	1		0	0	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Active state	3	0	0	0	0	60	0	0	0	0	219	32	0	1	0	1		0	0	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Sealed state	3	0	0	0	0	60	0	0	0	0	220	32	0	1	0	1		0	0	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Untested	3	0	0	0	0	60	0	0	0	0	10016	32	0	1	0	1		0	0	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Test successful	3	0	0	0	0	60	0	0	0	0	10017	32	0	1	0	1		0	0	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Test fail	3	0	0	0	0	60	0	0	0	0	10018	32	0	1	0	1		0	0	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Test unconfigured	3	0	0	0	0	60	0	0	0	0	10019	32	0	1	0	1		0	0	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGP Event Category										0																											
	Offline	4	1	1	1	0	60	16	0	1	0	15	21	0	1	0	0	EF1111	2	0f	0	301	1	0	0	2	1	7	1	0	0	0	0	0	0	0	0
	Online	4	1	1	2	0	60	0	0	0	0	16	21	0	1	0	0		2	10	0	301	1	0	0	2	1	7	1	0	0	0	0	0	0	0	0
	Mains fail	4	1	1	1	0	60	20	0	1	0	19	21	0	1	1	0	EF1111	2	13	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Mains restored	4	1	1	2	0	60	0	0	0	0	20	21	0	1	0	0		2	14	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Battery low	4	1	1	1	0	60	22	0	1	0	21	21	0	1	1	0	EF1111	2	15	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Battery low restored	4	1	1	2	0	60	0	0	0	0	22	21	0	1	0	0		2	16	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Fuse fail	4	1	1	1	0	60	24	0	1	0	23	21	0	1	1	0	EF1111	2	17	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Fuse restored	4	1	1	2	0	60	0	0	0	0	24	21	0	1	0	0		2	18	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Siren monitor fail	4	1	1	1	0	50	26	0	1	0	25	21	0	1	1	0	EF1111	2	19	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Siren monitor restored	4	1	1	2	0	50	0	0	0	0	26	21	0	1	0	0		2	1a	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Tamper	4	1	1	1	0	60	28	0	1	0	27	21	0	1	1	0	EF1111	2	1b	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Tamper restore	4	1	1	2	0	60	0	0	0	0	28	21	0	1	0	0		2	1c	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Battery test - start	4	1	1	0	0	70	30	0	0	0	29	21	0	1	1	0		2	1d	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Battery test - finish	4	1	1	2	0	70	0	0	0	0	30	21	0	1	0	0		2	1e	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Battery test - fail	4	1	1	1	0	70	32	0	1	0	31	21	0	1	1	0	EF1111	2	1f	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Battery test - restored	4	1	1	2	0	70	0	0	0	0	32	21	0	1	0	0		2	20	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	CPU restart	4	1	1	0	0	70	0	0	0	0	33	21	0	0	0	0		2	21	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Encryption reset	4	1	1	0	0	70	0	0	0	0	35	21	0	0	0	0		2	23	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	DIP switch changed	4	1	1	1	0	70	0	0	1	0	37	21	0	0	0	0	EF1111	2	25	0	301	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	De-polled	4	1	1	0	0	70	40	0	0	0	39	22	0	1	2	0		2	27	0	301	1	404	2	2	1	0	0	0	0	0	0	0	0	0	0
	Polled	4	1	1	2	0	70	0	0	0	0	40	22	0	1	2	0		2	28	0	301	1	404	2	2	1	0	0	0	0	0	0	0	0	0	0
	Isolated	4	1	1	0	0	70	42	0	0	0	41	22	0	1	3	0		2	29	0	301	1	404	2	2	1	0	0	0	0	0	0	0	0	0	0
	De-isolated	4	1	1	2	0	70	0	0	0	0	42	22	0	1	2	0		2	2a	0	301	1	404	2	2	1	0	0	0	0	0	0	0	0	0	0
	User - duress (Wireless)	4	1	1	1	0	10	64	0	1	0	63	22	0	0	3	0	EF1111	2	3f	0	301	1	404	2	0	0	0	0	0	0	0	0	0	0	0	0
	User - duress restored (Wireless)	4	1	1	2	0	10	0	0	0	0	64	22	0	0	2	0		2	40	0	301	1	404	2	0	0	0	0	0	0	0	0	0	0	0	0
	User - tamper	4	1	1	1	0	50	66	0	1	0	65	22	0	0	3	0	EF1111	2	41	0	301	1	404	2	0	0	0	0	0	0	0	0	0	0	0	0
	User - tamper restored	4	1	1	2	0	50	0	0	0	0	66	22	0	0	2	0		2	42	0	301	1	404	2	0	0	0	0	0	0	0	0	0	0	0	0
	User - battery low	4	1	1	1	0	50	68	0	1	0	67	22	0	0	3	0	EF1111	2	43	0	301	1	404	2	0	0	0	0	0	0	0	0	0	0	0	0
	User - battery low restored	4	1	1	2	0	50	0	0	0	0	68	22	0	0	2	0		2	44	0	301	1	404	2	0	0	0	0	0	0	0	0	0	0	0	0
	HLL - offline	4	1	1	1	0	50	177	0	1	0	176	21	0	0	1	0	EF1111	2	b0	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	HLL - online	4	1	1	2	0	50	0	0	0	0	177	21	0	0	0	0		2	b1	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	RF jammed	4	1	1	1	0	50	86	0	1	0	85	21	0	0	1	0	EF1111	2	55	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	RF jam restored	4	1	1	2	0	50	0	0	0	0	86	21	0	0	0	0		2	56	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	HLL - low battery restore	4	1	1	2	0	50	0	0	0	0	180	21	0	0	0	0		2	b4	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	HLL - low battery	4	1	1	1	0	50	180	0	1	0	181	21	0	0	1	0	EF1111	2	b5	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	HLL - tamper restore	4	1	1	2	0	50	0	0	0	0	182	21	0	0	0	0		2	b6	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	HLL - tamper	4	1	1	1	0	50	182	0	1	0	183	21	0	0	1	0	EF1111	2	b7	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	HLL - fuse fail restored	4	1	1	2	0	50	0	0	0	0	184	21	0	0	0	0		2	b8	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	HLL - fuse fail	4	1	1	1	0	50	184	0	1	0	185	21	0	0	1	0	EF1111	2	b9	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	HLL - mains fail restored	4	1	1	2	0	50	0	0	0	0	186	21	0	0	0	0		2	ba	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	HLL - mains fail	4	1	1	1	0	50	186	0	1	0	187	21	0	0	1	0	EF1111	2	bb	0	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Firmware upgrade initiate	4	1	1	0	0	60	743	0	0	0	741	21	0	1	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Send firmware - in progress	4	1	1	0	0	60	743	0	0	0	742	23	0	1	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Validating firmware file	4	1	1	0	0	60	0	0	0	0	792	21	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Upgrade task complete	4	1	1	0	0	60	0	0	0	0	743	21	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Firmware upgrade fail	4	1	1	0	0	60	0	0	0	0	744	61	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Status update	4	1	0	0	0	60	0	0	0	0	745	21	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Auto test call	4	1	1	0	0	80	0	0	0	0	746	21	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Computer connected	4	1	1	0	0	50	0	0	0	0	747	54	0	0	0	0		32	ff	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet link fail	4	1	1	1	0	50	749	0	1	0	748	64	0	0	1	0	EF1111	28	ff	3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet link restored	4	1	1	2	0	50	0	0	0	0	749	64	0	0	0	0		28	ff	3d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet heartbeat fail	4	1	1	1	0	50	751	0	1	0	750	69	0	0	1	0	EF1111	32	ff	3e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet heartbeat restored	4	1	1	2	0	50	0	0	0	0	751	69	0	0	0	0		32	ff	3f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet hardware init fail	4	1	1	1	0	50	753	0	1	0	752	21	0	0	1	0	EF1111	27	ff	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet hardware init restore	4	1	1	2	0	50	0	0	0	0	753	21	0	0	0	0		27	ff	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Configuration restored	4	1	1	2	0	60	0	0	0	0	767	21	0	0	0	0		10	ff	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Auto test call failed	4	1	1	1	0	60	0	0	0	0	768	69	0	0	0	0		32	ff	44	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Radio signal strength	4	1	1	0	0	50	0	0	0	0	769	51	0	0	0	0		24	ff	48	0	0	0	0	2	1	3	3	0	0	0	0	0	0	0	0
	Firmware upgrade started	4	1	1	0	0	50	0	0	0	0	754	21	0	0	0	0		27	ff	46	7	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Firmware upgrade complete	4	1	1	0	0	50	0	0	0	0	755	61	0	0	0	0		27	ff	47	7	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Comms - path fail	4	1	1	1	0	50	90	0	1	0	756	69	0	0	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - path restored	4	1	1	2	0	50	0	0	0	0	757	69	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Expander - comms fault	4	1	1	1	0	50	759	0	1	0	758	64	0	1	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Expander - comms restored	4	1	1	2	0	50	0	0	0	0	759	64	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Expander - hardware fail	4	1	1	1	0	50	94	0	1	0	760	64	0	1	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Expander - hardware restored	4	1	1	2	0	50	0	0	0	0	761	64	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	User database - full	4	1	1	1	0	50	763	0	1	0	762	21	0	0	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	User database - full restored	4	1	1	2	0	50	0	0	0	0	763	21	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	User database - defaulted	4	1	1	0	0	50	0	0	0	0	764	64	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	User database - corrupted	4	1	1	0	0	50	0	0	0	0	765	64	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Time changed	4	1	1	0	0	80	0	0	0	0	766	54	0	0	0	0		30	f2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Battery missing alarm	4	1	1	1	0	50	795	0	1	0	794	21	0	0	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Battery missing restored	4	1	1	2	0	50	0	0	0	0	795	21	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Migrate to NAC started	4	1	1	0	0	50	0	0	0	0	828	21	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Migrate to NAC complete	4	1	1	0	0	50	0	0	0	0	829	21	0	0	0	0		0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Migrate to NAC failed	4	1	1	0	0	50	0	0	0	0	830	21	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Apply license successful	4	1	1	0	0	50	0	0	0	0	951	21	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Apply license failed	4	1	1	0	0	50	0	0	0	0	952	61	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
DGP Events Not currently supported by Panel																																					
	Modem - no dial tone detected	4	1	1	0	0	60	0	0	0	0	778	69	0	0	0	0	EF1111	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Modem - dialing attempt failed	4	1	1	0	0	60	0	0	0	0	779	69	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Modem - DTMF message retransmission	4	1	1	0	0	60	0	0	0	0	780	69	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Modem - no answer	4	1	1	0	0	60	0	0	0	0	781	69	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Modem - DTMF kiss off not detected	4	1	1	0	0	60	0	0	0	0	782	69	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Comms - too many event retries	4	1	1	1	0	50	0	0	1	0	783	69	0	0	0	0	EF1111	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Modem - remote dial-in	4	1	1	0	0	50		0	0	0	784	69	0	0	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - direct connect (J15)	4	1	1	0	0	50	786	0	0	0	785	69	0	0	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Activated remote direct disconnect	4	1	1	2	0	50	0	0	0	0	786	69	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet CID site fail	4	1	1	1	0	50	788	0	1	0	787	69	0	0	1	0	EF1111	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet CID site restore	4	1	1	2	0	50	0	0	0	0	788	69	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Comms - path event reset	4	1	1	1	0	60	0	0	0	0	789	69	0	0	0	0		32	ff	44	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Service required	4	1	1	1	0	60	0	0	0	0	790	61	0	0	0	0		32	ff	44	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Power supply shutdown	4	1	1	1	0	60	793	0	0	0	791	21	0	0	0	0	EF1111	32	ff	4b	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Power supply shutdown restored	4	1	1	1	0	60	0	0	0	0	793	21	0	0	0	0		32	ff	4c	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	UltraSync DuraPoll fail (reporting via SIM2)	4	1	1	1	0	60	793	0	0	0	797	64	0	0	0	0	0	32	ff	4d	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	UltraSync DuraPoll restore (reporting via SIM1)	4	1	1	1	0	60	0	0	0	0	798	64	0	0	0	0		32	ff	4e	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	UltraSync event	4	1	1	0	0	60	0	0	0	0	801	69	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	UltraSync radio event	4	1	1	0	0	60	0	0	0	0	806	64	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
